txn_type,txn_date,txn_time,start_location,end_location,line_name,start_zone,end_zone
Check in,31/10/2025,4:52:10,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:52:52,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:54:07,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:54:33,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:54:47,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:54:53,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:56:08,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:57:27,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:57:28,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:58:34,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:58:47,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:59:01,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:59:15,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:59:19,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:59:37,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:59:43,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,4:59:44,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:00:13,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:00:22,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:00:41,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:01:50,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:02:20,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:03:57,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:04:07,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,5:04:39,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
